bayes,locus,p.value,adj.p.value
0.44,pcaA,5.009989634909839e-4,0.008273594870269088
0.44,trcR,5.009989634909839e-4,0.008273594870269088
0.44,vapC27,5.009989634909839e-4,0.008273594870269088
0.4375,Rv0175,5.913300458163517e-4,0.009524962430303388
0.4375,cysA1,5.913300458163517e-4,0.009524962430303388
0.4375,ftsW,5.913300458163517e-4,0.009524962430303388
0.4375,pheA,5.913300458163517e-4,0.009524962430303388
0.4375,mce4A,5.913300458163517e-4,0.009524962430303388
0.4375,Rv0356c,5.913300458163517e-4,0.009524962430303388
0.4375,Rv1466-fadE15,5.913300458163517e-4,0.009524962430303388
0.4375,sirA,5.913300458163517e-4,0.009524962430303388
0.43243243243243246,glgA,7.961318278545404e-4,0.012784509566927971
0.4318181818181818,PE_PGRS58-Rv3591c,8.046463645691171e-4,0.01288172390984504
0.43023255813953487,Rv3335c-trpS,9.095382104781224e-4,0.014476763202265546
0.43,thrS,9.09809951011531e-4,0.014476763202265546
0.42857142857142855,Rv0060,0.001028198243414824,0.014787411550210449
0.42857142857142855,Rv2456c,0.001028198243414824,0.014787411550210449
0.42857142857142855,metH-Rv2125,0.001028198243414824,0.014787411550210449
0.42857142857142855,galU,0.001028198243414824,0.014787411550210449
0.42857142857142855,Rv1424c,0.001028198243414824,0.014787411550210449
0.42857142857142855,rimJ-Rv0996,0.001028198243414824,0.014787411550210449
0.42857142857142855,thyX-hsdS.1,0.001028198243414824,0.014787411550210449
0.42857142857142855,epiA,0.001028198243414824,0.014787411550210449
0.42857142857142855,Rv2478c,0.001028198243414824,0.014787411550210449
0.42857142857142855,Rv2640c,0.001028198243414824,0.014787411550210449
0.42857142857142855,hisD,0.001028198243414824,0.014787411550210449
0.42857142857142855,MTS1338,0.001028198243414824,0.014787411550210449
0.42857142857142855,hspX,0.001028198243414824,0.014787411550210449
0.42857142857142855,ndkA,0.001028198243414824,0.014787411550210449
0.42857142857142855,sigH,0.001028198243414824,0.014787411550210449
0.42857142857142855,Rv0615,0.001028198243414824,0.014787411550210449
0.42857142857142855,Rv1486c,0.001028198243414824,0.014787411550210449
0.42857142857142855,Rv0025,0.001028198243414824,0.014787411550210449
0.42857142857142855,vapB46-Rv3386,0.001028198243414824,0.014787411550210449
0.42857142857142855,pyrF-PE15,0.001028198243414824,0.014787411550210449
0.42857142857142855,infC,0.001028198243414824,0.014787411550210449
0.42857142857142855,Rv2141c,0.001028198243414824,0.014787411550210449
0.42857142857142855,whiB3,0.001028198243414824,0.014787411550210449
0.42857142857142855,Rv0025-Rv0026,0.001028198243414824,0.014787411550210449
0.42857142857142855,Rv3395A,0.001028198243414824,0.014787411550210449
0.42857142857142855,scpA,0.001028198243414824,0.014787411550210449
0.42857142857142855,Rv1273c-lprB,0.001028198243414824,0.014787411550210449
0.42857142857142855,argW-echA14,0.001028198243414824,0.014787411550210449
0.42857142857142855,Rv0521-gabP,0.001028198243414824,0.014787411550210449
0.42857142857142855,Rv1581c-Rv1582c,0.001028198243414824,0.014787411550210449
0.42857142857142855,mtc28-leuS,0.001028198243414824,0.014787411550210449
0.42857142857142855,canA-cysD,0.001028198243414824,0.014787411550210449
0.42857142857142855,vapC32,0.001028198243414824,0.014787411550210449
0.42857142857142855,Rv2061c,0.001028198243414824,0.014787411550210449
0.42857142857142855,Rv1322A,0.001028198243414824,0.014787411550210449
0.4230769230769231,PPE21-fadD11.1,0.0013397940550960996,0.019215950351857757
0.42105263157894735,cydA,0.0015221998881697063,0.021713123745418016
0.42105263157894735,amiD-Rv3376,0.0015221998881697063,0.021713123745418016
0.42,Rv3814c,0.001596928534866482,0.022717176304418565
0.41935483870967744,espH,0.0016649768934495768,0.023621013650971637
0.4186046511627907,mtr,0.001722902917161817,0.024376748030654358
0.4166666666666667,Rv2975c,0.001969711256661344,0.027135364285847726
0.4166666666666667,rpsB-Rv2891,0.001969711256661344,0.027135364285847726
0.4166666666666667,Rv0349-dnaK,0.001969711256661344,0.027135364285847726
0.4166666666666667,Rv2842c,0.001969711256661344,0.027135364285847726
0.4166666666666667,Rv0695,0.001969711256661344,0.027135364285847726
0.4166666666666667,echA11,0.001969711256661344,0.027135364285847726
0.4166666666666667,moaR1,0.001969711256661344,0.027135364285847726
0.4166666666666667,Rv0481c-murB,0.001969711256661344,0.027135364285847726
0.4166666666666667,tatD,0.001969711256661344,0.027135364285847726
0.4166666666666667,Rv0463,0.001969711256661344,0.027135364285847726
0.4146341463414634,cobH,0.002122927627434268,0.029169359920258247
