plate,strain,replicate,isoniazid,cfus,rfus,exp,rep.label,rfus.per.cfu,inh.label,fc
2,ohrR-s5,c,10,8000000,37872.5,1,ohrR-s5-c,0.0047340625,"10 µg/mL
isoniazid",0.7286746385246612
2,ohrR-L10,a,10,8000000,44314.5,1,ohrR-L10-a,0.0055393125,"10 µg/mL
isoniazid",0.8526200348247699
2,ohrR-L10,b,10,8000000,41555.5,1,ohrR-L10-b,0.0051944375,"10 µg/mL
isoniazid",0.7995363110756236
2,ohrR-L10,c,10,8000000,42008.5,1,ohrR-L10-c,0.0052510625,"10 µg/mL
isoniazid",0.8082521236375529
1,nb-wt,b,25,8000000,52267.5,1,nb-wt-b,0.0065334375,"25 µg/mL
isoniazid",0.9749489372417717
1,nb-wt,c,25,8000000,53528.5,1,nb-wt-c,0.0066910625,"25 µg/mL
isoniazid",0.9984704488859458
1,ohrR-anc,a,25,8000000,40400.5,1,ohrR-anc-a,0.0050500625,"25 µg/mL
isoniazid",0.7535930461383498
1,ohrR-anc,b,25,8000000,43484.5,1,ohrR-anc-b,0.0054355625,"25 µg/mL
isoniazid",0.8111190904766791
1,ohrR-s5,a,25,8000000,48620.5,1,ohrR-s5-a,0.0060775625,"25 µg/mL
isoniazid",0.906921218791095
1,ohrR-s5,b,25,8000000,40531.5,1,ohrR-s5-b,0.0050664375,"25 µg/mL
isoniazid",0.756036597308363
1,ohrR-s5,c,25,8000000,39043.5,1,ohrR-s5-c,0.0048804375,"25 µg/mL
isoniazid",0.7282808405069903
1,ohrR-L10,a,25,8000000,44850.5,1,ohrR-L10-a,0.0056063125,"25 µg/mL
isoniazid",0.8365991736693372
1,ohrR-L10,b,25,8000000,40437.5,1,ohrR-L10-b,0.0050546875,"25 µg/mL
isoniazid",0.7542832094459109
1,ohrR-L10,c,25,8000000,44530.5,1,ohrR-L10-c,0.0055663125,"25 µg/mL
isoniazid",0.8306301937120527
2,nb-wt,b,25,8000000,54460.5,1,nb-wt-b,0.0068075625,"25 µg/mL
isoniazid",1.015855103011537
2,nb-wt,c,25,8000000,54185.5,1,nb-wt-c,0.0067731875,"25 µg/mL
isoniazid",1.0107255108607456
2,ohrR-anc,a,25,8000000,42290.5,1,ohrR-anc-a,0.0052863125,"25 µg/mL
isoniazid",0.7888473340110613
2,ohrR-anc,b,25,8000000,45873.5,1,ohrR-anc-b,0.0057341875,"25 µg/mL
isoniazid",0.855681256470281
2,ohrR-s5,a,25,8000000,43384.5,1,ohrR-s5-a,0.0054230625,"25 µg/mL
isoniazid",0.8092537842400276
2,ohrR-s5,b,25,8000000,41073.5,1,ohrR-s5-b,0.0051341875,"25 µg/mL
isoniazid",0.7661465571110136
2,ohrR-s5,c,25,8000000,40707.5,1,ohrR-s5-c,0.0050884375,"25 µg/mL
isoniazid",0.7593195362848696
2,ohrR-L10,a,25,8000000,46602.5,1,ohrR-L10-a,0.0058253125,"25 µg/mL
isoniazid",0.8692793389354697
2,ohrR-L10,b,25,8000000,42867.5,1,ohrR-L10-b,0.0053584375,"25 µg/mL
isoniazid",0.79961015099654
2,ohrR-L10,c,25,8000000,44599.5,1,ohrR-L10-c,0.0055749375,"25 µg/mL
isoniazid",0.8319172550153422
1,nb-wt,b,100,8000000,57187.5,1,nb-wt-b,0.0071484375,"100 µg/mL
isoniazid",0.9835494634012109
