Sample.ID,lineage,major.lineage,Rifampicin,Isoniazid,Ethambutol,Streptomycin
SRR26399801,2.2.2,2,0,0,0,0
SRR5067675,2.2.2,2,0,0,0,0
SRR5073660,2.2.2,2,0,0,0,0
SRR5073959,2.2.2,2,0,1,0,1
SRR5065567,2.2.2,2,0,0,0,0
SRR5067715,2.2.2,2,0,0,0,1
SRR5074139,2.2.2,2,0,0,0,0
SRR26399776,2.2.2,2,0,0,0,0
SRR5067378,2.2.2,2,0,0,0,1
SRR26399965,2.2.2,2,0,0,0,0
SRR5073786,2.2.2,2,0,0,0,0
SRR5073860,2.2.2,2,0,0,0,0
SRR5067299,2.2.2,2,0,0,0,0
SRR5065419,2.2.2,2,0,0,0,0
SRR5074138,2.2.2,2,0,0,0,0
SRR26399954,2.2.2,2,0,0,0,0
SRR5067419,2.2.2,2,0,1,0,1
SRR5073818,2.2.2,2,1,1,0,1
SRR5073689,2.2.2,2,0,0,0,0
SRR5065290,2.2.2,2,0,0,0,1
SRR26399706,2.2.2,2,0,0,0,0
SRR5073549,2.2.2,2,0,0,0,0
SRR5074103,2.2.2,2,0,0,0,0
SRR5067236,2.2.2,2,0,0,0,0
SRR5065499,2.2.2,2,0,0,0,0
SRR5067624,2.2.2,2,0,0,0,0
SRR5073633,2.2.2,2,0,0,0,0
SRR5073943,2.2.2,2,0,0,0,0
SRR5074150,2.2.2,2,0,0,0,0
SRR5065500,2.2.2,2,0,0,0,1
SRR5065656,2.2.2,2,0,0,0,0
SRR5073586,2.2.2,2,0,0,0,1
SRR5067406,2.2.2,2,0,1,0,1
SRR5073824,2.2.2,2,0,0,0,0
SRR26399674,2.2.1,2,0,1,0,0
SRR5065401,2.2.1,2,0,0,0,0
SRR5073820,2.2.1,2,0,0,0,1
SRR5073646,2.2.1,2,0,0,0,0
SRR5073762,2.2.1,2,0,0,0,0
SRR26399287,2.2.1,2,0,0,0,0
SRR26399667,2.2.1,2,0,0,0,0
SRR5073598,2.2.1,2,0,0,0,0
SRR5073699,2.2.1,2,0,0,0,0
SRR5073758,2.2.1,2,0,0,0,0
SRR5067635,2.2.1,2,0,1,0,1
SRR5073519,2.2.1,2,1,0,0,0
SRR26399279,2.2.1,2,0,0,0,0
SRR26399197,2.2.1,2,0,0,0,0
SRR5067593,2.2.1,2,0,0,0,0
SRR5073703,2.2.1,2,0,0,0,1
SRR5065405,2.2.1,2,0,0,0,1
SRR5067261,2.2.1,2,0,0,0,1
SRR5073611,2.2.1,2,0,0,0,0
SRR5067222,2.2.1,2,1,1,1,1
SRR5074112,2.2.1,2,0,0,0,1
SRR5073661,2.2.1,2,0,0,0,1
SRR5067490,2.2.1,2,0,0,0,0
SRR5073543,2.2.1,2,0,1,0,0
SRR5073906,2.2.1,2,0,1,0,0
