rv.number,locus
Rv2236c,cobD
Rv3390,lpqD
Rv3395A,Rv3395A
Rv2721c-Rv2722,Rv2721c-Rv2722
Rv2766c,Rv2766c
Rv0421c,Rv0421c
Rv2678c,hemE
Rv3226c-Rv3227,Rv3226c-aroA
Rv1813c,Rv1813c
Rv2588c,yajC
Rv2671,ribD
Rv2912c,Rv2912c
Rv3207c,Rv3207c
Rv3741c,Rv3741c
Rv0780,purC
Rv3713,cobQ2
Rv1631-Rv1632c,coaE-Rv1632c
Rv2182c,Rv2182c
Rv0705,rpsS
Rv2334,cysK1
Rv2986c,hupB
Rv0880,Rv0880
Rv0645c,mmaA1
Rv1085c,Rv1085c
Rv2771c,Rv2771c
Rv2908c,Rv2908c
Rv2219A,Rv2219A
Rv2306B,Rv2306B
Rv0292,eccE3
Rv1016c,lpqT
Rv1611,trpC
Rv2241,aceE
Rv1081c,Rv1081c
Rv1649,pheS
Rv2272,Rv2272
Rv2889c,tsf
Rv3209,Rv3209
Rv0718,rpsH
Rv0332,Rv0332
Rv2442c-Rv2443,rplU-dctA
Rv1469-Rv1470,ctpD-trxA
Rv3534c,hsaF
Rv0717,rpsN1
Rv1697,Rv1697
Rv1685c,Rv1685c
Rv0513,Rv0513
Rv0534c,menA
Rv2438A,Rv2438A
Rv0208c-Rv0209,Rv0208c-Rv0209
Rv1300,hemK
Rv1466-Rv1467c,Rv1466-fadE15
Rv2285-Rv2286c,Rv2285-Rv2286c
Rv1534,Rv1534
Rv2422,Rv2422
Rv0723-Rv0724,rplO-sppA
Rv2695,Rv2695
Rv3501c,yrbE4A
Rv1608c,bcpB
Rv3629c,Rv3629c
Rv0456B,mazE1
Rv1024,Rv1024
EBG00000313313,mpr12
Rv2350c-Rv2351c,plcB-plcA
Rv2371-Rv2372c,PE_PGRS40-Rv2372c
Rv3199c-Rv3200c,nudC-Rv3200c
Rv2361c,Rv2361c
Rv3575c-Rv3576,Rv3575c-lppH
MTB000044-Rv3644c,thrU-Rv3644c
Rv0610c-Rv0611c,Rv0610c-Rv0611c
Rv0432,sodC
EBG00000313322,AS1890
Rv2063,mazE7
Rv0821c,phoY2
Rv0965c,Rv0965c
Rv0636,hadB
Rv0641,rplA
Rv1709,scpA
Rv3342,Rv3342
Rv3574,kstR
Rv1174c,TB8.4
Rv1977-Rv1978,Rv1977-Rv1978
Rv2600,Rv2600
Rv3603c-Rv3604c,Rv3603c-Rv3604c
Rv3780,Rv3780
Rv0188,Rv0188
Rv0394c,Rv0394c
Rv1365c,rsfA
Rv3036c,TB22.2
Rv3133c,devR
Rv3288c,usfY
Rv1743-Rv1744c,pknE-Rv1744c
Rv2463,lipP
Rv3120-Rv3121,Rv3120-cyp141
Rv3216,Rv3216
Rv2002,fabG3
Rv0665,vapC8
Rv2753c,dapA
Rv2391,sirA
Rv1284,canA
Rv2870c,dxr
Rv1327c-Rv1328,glgE-glgP
Rv1571-Rv1572c,Rv1571-Rv1572c
Rv0730,Rv0730
Rv3849,espR
Rv0249c,Rv0249c
Rv3360,Rv3360
Rv0055,rpsR1
Rv1498A,Rv1498A
Rv3368c,Rv3368c
Rv0180c-Rv0181c,Rv0180c-Rv0181c
Rv2229c,Rv2229c
Rv2235,Rv2235
Rv0463,Rv0463
Rv0251c,hsp
Rv1474c,Rv1474c
Rv2390c,Rv2390c
Rv0489,gpm1
Rv1829,Rv1829
Rv3309c,upp
Rv3690,Rv3690
Rv0106,Rv0106
Rv0420c,Rv0420c
Rv2210c,ilvE
Rv2325c,Rv2325c
Rv2639c,Rv2639c
Rv3614c,espD
Rv1658-Rv1659,argG-argH
Rv3613c,Rv3613c
Rv2558,Rv2558
Rv2630,Rv2630
Rv2925c,rnc
Rv3781,rfbE
Rv0019c,fhaB
Rv2156c,murX
Rv3058c,Rv3058c
Rv3217c,Rv3217c
Rv2602,vapC41
Rv0422c-Rv0423c,thiD-thiC
Rv0310c,Rv0310c
Rv0203-Rv0204c,Rv0203-Rv0204c
Rv0454,Rv0454
Rv3852,hns
Rv3643,Rv3643
Rv3070,Rv3070
Rv3222c,Rv3222c
Rv3352c,Rv3352c
Rv2645,Rv2645
Rv0903c,prrA
Rv1780,Rv1780
Rv2269c,Rv2269c
Rv3641c,fic
Rv3117,cysA3
Rv0544c,Rv0544c
Rv1107c,xseB
Rv3095,Rv3095
Rv1605,hisF
Rv3214,gpm2
Rv1831,Rv1831
Rv0041-Rv0042c,leuS-Rv0042c
Rv1679,fadE16
Rv0150c,Rv0150c
Rv1538c-Rv1539,ansA-lspA
Rv1083,Rv1083
Rv0634B,rpmG2
Rv1670,Rv1670
Rv2121c,hisG
Rv2460c,clpP2
Rv3149,nuoE
Rv3099c,Rv3099c
Rv3284,Rv3284
Rv3914,trxC
Rv3601c,panD
Rv1632c,Rv1632c
Rv1994c,cmtR
Rv2929,Rv2929
Rv3052c,nrdI
Rv3098c,Rv3098c
Rv1561,vapC11
Rv2331,Rv2331
Rv2704,Rv2704
Rv2759c,vapC42
Rv2076c,Rv2076c
Rv2734,Rv2734
Rv2292c,Rv2292c
Rv3287c,rsbW
Rv2767c,Rv2767c
Rv3765c,tcrX
Rv3875,esxA
Rv1065,Rv1065
Rv2906c,trmD
Rv0163,Rv0163
Rv0568-Rv0569,cyp135B1-Rv0569
Rv1643,rplT
Rv2757c,vapC21
Rv2327,Rv2327
Rv0793-Rv0794c,Rv0793-Rv0794c
Rv1903,Rv1903
Rv2453c,mobA
Rv3146,nuoB
Rv1321,Rv1321
Rv1581c-Rv1582c,Rv1581c-Rv1582c
Rv0599c,vapB27
Rv2104c,vapB37
Rv3469c,mhpE
Rv3678c,Rv3678c
Rv0122,Rv0122
Rv0500A,Rv0500A
Rv0535,pnp
Rv1626,Rv1626
Rv3517-Rv3518c,Rv3517-cyp142
EBG00000313352,asnT
Rv0451c,mmpS4
Rv1962A,vapB35
Rv0903c-Rv0904c,prrA-accD3
Rv1205,Rv1205
Rv1323-Rv1324,fadA4-Rv1324
Rv3420c,rimI
Rv2380c-Rv2381c,mbtE-mbtD
Rv2117,Rv2117
Rv0651,rplJ
Rv2521,bcp
Rv3841,bfrB
Rv0708,rplP
Rv2454c,Rv2454c
Rv3112,moaD1
Rv2872,vapC43
MTB000030,proU
Rv1846c-Rv1847,blaI-Rv1847
Rv0704,rplB
Rv2189c-Rv2190c,Rv2189c-Rv2190c
Rv3012c,gatC
Rv3802c,Rv3802c
Rv3644c,Rv3644c
Rv3488,Rv3488
Rv0488,Rv0488
Rv0599c-Rv0600c,vapB27-Rv0600c
Rv1066,Rv1066
Rv0141c,Rv0141c
Rv1723-Rv1724c,Rv1723-Rv1724c
Rv3118,sseC1
Rv3251c,rubA
Rv1241,vapB33
Rv3246c,mtrA
Rv3819,Rv3819
Rv1740,vapB34
Rv2150c,ftsZ
Rv2389c,rpfD
Rv0806c-Rv0807,cpsY-Rv0807
Rv1114,vapC32
Rv2904c,rplS
Rv3369-Rv3370c,Rv3369-dnaE2
Rv2739c-Rv2740,Rv2739c-ephG
Rv3567c,hsaB
Rv2755c,hsdS.1
Rv3493c,Rv3493c
Rv2822c,Rv2822c
Rv3706c,Rv3706c
Rv1876,bfrA
Rv1436,gap
Rv3198c-Rv3198A,uvrD2-Rv3198A
Rv0238,Rv0238
Rv1721c,vapB12
Rv2202c,adoK
Rv3224A,Rv3224B
Rv2523c,acpS
Rv3046c,Rv3046c
Rv2324,Rv2324
Rv2674,msrB
Rv2061c,Rv2061c
Rv0912,Rv0912
Rv2772c,Rv2772c
Rv2094c,tatA
Rv0526,Rv0526
Rv0313,Rv0313
Rv1793,esxN
Rv2314c,Rv2314c
Rv2527,vapC17
Rv2970A,Rv2970A
Rv3305c,amiA1
Rv1734c,Rv1734c
Rv3101c,ftsX
Rv0719,rplF
Rv3029c,fixA
Rv0675-Rv0676c,echA5-mmpL5
Rv3438-Rv3439c,Rv3438-Rv3439c
Rv0204c-Rv0205,Rv0204c-Rv0205
Rv3669,Rv3669
Rv3384c,vapC46
Rv2730,Rv2730
Rv3269,Rv3269
Rv0334,rmlA
Rv3182,Rv3182
Rv2077A,Rv2077A
Rv2289-Rv2290,cdh-lppO
Rv3595c-Rv3596c,PE_PGRS59-clpC1
Rv3020c,esxS
Rv1440,secG
Rv1322A,Rv1322A
Rv1849,ureB
Rv1102c,mazF3
Rv3718c,Rv3718c
Rv2794c,pptT
Rv0064-Rv0064A,Rv0064-vapB1
Rv0067c-Rv0068,Rv0067c-Rv0068
Rv0202c-Rv0203,mmpL11-Rv0203
Rv0249c-Rv0250c,Rv0249c-Rv0250c
Rv0490-Rv0491,senX3-regX3
Rv0689c-Rv0690c,Rv0689c-Rv0690c
Rv0750-Rv0751c,Rv0750-mmsB
Rv0819-Rv0820,mshD-phoT
Rv0855-Rv0856,far-Rv0856
Rv0922-Rv0923c,Rv0922-Rv0923c
Rv1139c-Rv1140,Rv1139c-Rv1140
Rv1179c-Rv1180,Rv1179c-pks3
EBG00000313387-Rv1197,ncrMT1234-esxK
Rv1506c-Rv1507c,Rv1506c-Rv1507c
Rv2104c-Rv2105,vapB37-Rv2105
Rv2106-PE22,Rv2106-PE22
Rv2248-Rv2249c,Rv2248-glpD1
Rv2386c-Rv2387,mbtI-Rv2387
Rv2390c-Rv2391,Rv2390c-sirA
Rv2630-Rv2631,Rv2630-Rv2631
PPE55-Rv3348,PPE55-Rv3348
Rv3395c-Rv3395A,Rv3395c-Rv3395A
Rv3423c-Rv3424c,alr-Rv3424c
serV-Rv3723,serV-Rv3723
Rv3743c-Rv3744,ctpJ-nmtR
MTS2975-Rv3844,MTS2975-Rv3844
Rv0001-Rv0002,dnaA-dnaN
alaT-Rv0008c,alaT-Rv0008c
Rv0018c-Rv0019c,pstP-fhaB
Rv0031-Rv0032,Rv0031-bioF2
Rv0106-Rv0107c,Rv0106-ctpI
Rv0108c-PE_PGRS1,Rv0108c-PE_PGRS1
Rv0215c-Rv0216,fadE3-Rv0216
Rv0244c-Rv0245,fadE5-Rv0245
Rv0384c-Rv0385,clpB-Rv0385
Rv0489-Rv0490,gpm1-senX3
Rv0554-Rv0555,bpoC-menD
Rv0597c-Rv0598c,Rv0597c-vapC27
Rv0650-Rv0651,Rv0650-rplJ
Rv0656c-Rv0657c,vapC6-vapB6
Rv0678-Rv0679c,Rv0678-Rv0679c
Rv0680c-Rv0681,Rv0680c-Rv0681
Rv0694-Rv0695,lldD1-Rv0695
Rv0712-Rv0713,Rv0712-Rv0713
Rv0847-Rv0848,lpqS-cysK2
PE7-Rv0917,PE7-betP
Rv0932c-Rv0933,pstS2-pstB
Rv0966c-Rv0967,Rv0966c-csoR
PE8-Rv1041c,PE8-Rv1041c
Rv1056-Rv1057,Rv1056-Rv1057
Rv1072-Rv1073,Rv1072-Rv1073
Rv1087A-PE9,Rv1087A-PE9
PE10-celA2a,PE10-celA2a
Rv1101c-Rv1102c,Rv1101c-mazF3
Rv1112-Rv1113,Rv1112-vapB32
Rv1115-Rv1116,Rv1115-Rv1116
Rv1133c-Rv1134,metE-Rv1134
Rv1160-Rv1161,mutT2-narG
Rv1184c-Rv1185c,Rv1184c-fadD21
Rv1186c-Rv1187,Rv1186c-rocA
Rv1197-Rv1198,esxK-esxL
Rv1267c-Rv1268c,embR-Rv1268c
Rv1283c-Rv1284,oppB-canA
Rv1289-Rv1290c,Rv1289-Rv1290c
Rv1290A-Rv1291c,Rv1290A-Rv1291c
leuW-Rv1348,leuW-irtA
Rv1356c-Rv1357c,Rv1356c-Rv1357c
EBG00000313353-Rv1375,MTS1082-Rv1375
PE_PGRS28-Rv1453,PE_PGRS28-Rv1453
Rv1502-Rv1503c,Rv1502-Rv1503c
Rv1510-Rv1511,Rv1510-gmdA
Rv1592c-Rv1593c,Rv1592c-Rv1593c
Rv1614-Rv1615,lgt-Rv1615
Rv1645c-PE17,Rv1645c-PE17
Rv1677-Rv1678,dsbF-Rv1678
Rv1725c-Rv1726,Rv1725c-Rv1726
PPE27-PE19,PPE27-PE19
PPE28-PPE29,PPE28-PPE29
Rv1826-Rv1827,gcvH-garA
Rv1867-Rv1868,Rv1867-Rv1868
Rv1886c-Rv1887,fbpB-Rv1887
Rv1988-Rv1989c,erm(37)-Rv1989c
Rv1994c-Rv1995,cmtR-Rv1995
Rv2012-Rv2013,Rv2012-Rv2013
Rv2014-Rv2015c,Rv2014-Rv2015c
Rv2080-Rv2081c,lppJ-Rv2081c
PPE36-prcA,PPE36-prcA
Rv2134c-Rv2135c,Rv2134c-Rv2135c
leuU-parE2,leuU-parE2
Rv2169c-Rv2170,Rv2169c-Rv2170
Rv2190c-Rv2191,Rv2190c-Rv2191
Rv2258c-Rv2259,Rv2258c-mscR
Rv2264c-Rv2265,Rv2264c-Rv2265
Rv2271-Rv2272,Rv2271-Rv2272
Rv2308-metV,Rv2308-metV
Rv2347c-Rv2348c,esxP-Rv2348c
Rv2407-PE24,Rv2407-PE24
Rv2424c-Rv2425c,Rv2424c-Rv2425c
Rv2541-Rv2542,Rv2541-Rv2542
Rv2590-PE_PGRS44,fadD9-PE_PGRS44
valU-Rv2645,valU-Rv2645
Rv2652c-Rv2653c,Rv2652c-Rv2653c
Rv2694c-Rv2695,Rv2694c-Rv2695
Rv2756c-Rv2757c,hsdM-vapC21
Rv2764c-Rv2765,thyA-Rv2765
Rv2827c-Rv2828c,Rv2827c-Rv2828c
Rv2864c-Rv2865,Rv2864c-relF
Rv2890c-Rv2891,rpsB-Rv2891
Rv2940c-Rv2941,mas-fadD28
Rv2959c-Rv2960c,Rv2959c-Rv2960c
Rv3046c-Rv3047c,Rv3046c-Rv3047c
Rv3049c-Rv3050c,Rv3049c-Rv3050c
Rv3051c-Rv3052c,nrdE-nrdI
Rv3061c-Rv3062,fadE22-ligB
Rv3121-Rv3122,cyp141-Rv3122
Rv3134c-PPE50,Rv3134c-PPE50
Rv3178-Rv3179,Rv3178-Rv3179
Rv3181c-Rv3182,Rv3181c-Rv3182
Rv3371-Rv3372,Rv3371-otsB2
Rv3387-PE_PGRS52,Rv3387-PE_PGRS52
Rv3452-Rv3453,cut4-Rv3453
Rv3520c-Rv3521,Rv3520c-Rv3521
Rv3531c-PPE61,Rv3531c-PPE61
Rv3555c-Rv3556c,Rv3555c-fadA6
Rv3647c-cspA,Rv3647c-cspA
EBG00000313385-PE_PGRS60,mpr18-PE_PGRS60
Rv3705c-Rv3705A,Rv3705c-Rv3705A
Rv3725-Rv3726,Rv3725-Rv3726
Rv3759c-Rv3760,proX-Rv3760
Rv3843c-MTS2975,Rv3843c-MTS2975
Rv3845-Rv3846,Rv3845-sodA
Rv3848-Rv3849,Rv3848-espR
Rv3879c-Rv3880c,espK-espL
Rv3907c-Rv3908,pcnA-mutT4
PE_PGRS3-PE_PGRS4,PE_PGRS3-PE_PGRS4
Rv0420c-Rv0421c,Rv0420c-Rv0421c
Rv0759c-Rv0760c,Rv0759c-Rv0760c
Rv0794c-Rv0795,Rv0794c-Rv0795
Rv1042c-Rv1043c,Rv1042c-Rv1043c
PPE31-PPE32,PPE31-PPE32
Rv2351c-PPE38,plcA-PPE38
Rv2405-Rv2406c,Rv2405-Rv2406c
Rv2862c-Rv2862A,Rv2862c-vapB23
Rv2905-Rv2906c,lppW-trmD
Rv3428c-PPE59,Rv3428c-PPE59
Rv3547-Rv3548c,ddn-Rv3548c
Rv3682-Rv3683,ponA2-Rv3683
Rv3775-Rv3776,lipE-Rv3776
Rv3802c-Rv3803c,Rv3802c-fbpD
Rv0020c-leuT,fhaA-leuT
Rv0022c-Rv0023,whiB5-Rv0023
Rv0035-Rv0036c,fadD34-Rv0036c
Rv0058-Rv0059,dnaB-Rv0059
Rv0070c-Rv0071,glyA2-Rv0071
Rv0087-Rv0088,hycE-Rv0088
Rv0088-Rv0089,Rv0088-Rv0089
Rv0115-Rv0116c,hddA-ldtA
Rv0131c-Rv0132c,fadE1-fgd2
Rv0210-Rv0211,Rv0210-pckA
Rv0330c-Rv0331,Rv0330c-Rv0331
Rv0439c-Rv0440,Rv0439c-groEL2
Rv0445c-Rv0446c,sigK-Rv0446c
Rv0451c-Rv0452,mmpS4-Rv0452
Rv0470c-Rv0470A,pcaA-Rv0470A
Rv0518-Rv0519c,Rv0518-Rv0519c
vapB3-Rv0551c,vapB3-fadD8
Rv0585c-Rv0586,Rv0585c-mce2R
Rv0602c-Rv0603,tcrA-Rv0603
Rv0737-Rv0738,Rv0737-Rv0738
Rv0749A-Rv0750,Rv0749A-Rv0750
Rv0853c-Rv0854,pdc-Rv0854
Rv0893c-Rv0894,Rv0893c-Rv0894
Rv0927c-Rv0928,Rv0927c-pstS3
Rv0964c-Rv0965c,Rv0964c-Rv0965c
PE_PGRS18-Rv0981,PE_PGRS18-mprA
Rv0982-Rv0983,mprB-pepD
Rv0991c-Rv0992c,Rv0991c-Rv0992c
Rv1008-Rv1009,tatD-rpfB
mpr5-Rv1052,mpr5-Rv1052
MTS0858-Rv1093,MTS0858-glyA1
Rv1136-Rv1137c,Rv1136-Rv1137c
Rv1227c-Rv1228,Rv1227c-lpqX
Rv1230c-Rv1231c,Rv1230c-Rv1231c
Rv1357c-Rv1358,Rv1357c-Rv1358
Rv1418-Rv1419,lprH-Rv1419
Rv1432-Rv1433,Rv1432-Rv1433
Rv1478-Rv1479,Rv1478-moxR1
Rv1507A-Rv1508c,Rv1507A-Rv1508c
Rv1509-Rv1510,Rv1509-Rv1510
Rv1566c-Rv1567c,Rv1566c-Rv1567c
Rv1681-Rv1682,moeX-Rv1682
Rv1704c-PPE22,cycA-PPE22
Rv1843c-Rv1844c,guaB1-gnd1
Rv1879-Rv1880c,Rv1879-cyp140
Rv1888c-Rv1888A,Rv1888c-Rv1888A
Rv1894c-Rv1895,Rv1894c-Rv1895
Rv1921c-Rv1922,lppF-Rv1922
Rv1924c-Rv1925,Rv1924c-fadD31
Rv1975-Rv1976c,Rv1975-Rv1976c
Rv1981c-Rv1982c,nrdF1-vapC36
Rv1987-Rv1988,Rv1987-erm(37)
ASpks-Rv2049c,ASpks-Rv2049c
Rv2087-Rv2088,Rv2087-pknJ
Rv2115c-Rv2116,mpa-lppK
Rv2120c-Rv2121c,Rv2120c-hisG
Rv2128-Rv2129c,Rv2128-Rv2129c
PE_PGRS38-Rv2163c,PE_PGRS38-pbpB
Rv2176-Rv2177c,pknL-Rv2177c
Rv2185c-Rv2186c,TB16.3-Rv2186c
Rv2237-Rv2237A,Rv2237-Rv2237A
Rv2333c-Rv2334,stp-cysK1
Rv2346c-Rv2347c,esxO-esxP
PPE38-PPE39,PPE38-PPE39
Rv2355-PPE40,Rv2355-PPE40
Rv2395-MTB000067,Rv2395-mcr7
Rv2485c-argW,lipQ-argW
Rv2525c-Rv2526,Rv2525c-vapB17
Rv2550c-Rv2551c,vapB20-Rv2551c
Rv2572c-Rv2573,aspS-Rv2573
Rv2626c-Rv2627c,hrp1-Rv2627c
Rv2632c-Rv2633c,Rv2632c-Rv2633c
Rv2644c-valT,Rv2644c-valT
Rv2659c-Rv2660c,Rv2659c-Rv2660c
Rv2800-Rv2801c,Rv2800-mazF9
Rv2808-Rv2809,Rv2808-Rv2809
Rv2813-Rv2814c,Rv2813-Rv2814c
vapB22-Rv2831,vapB22-echA16
Rv2878c-Rv2879c,mpt53-Rv2879c
Rv2950c-Rv2951c,fadD29-Rv2951c
Rv2957-Rv2958c,Rv2957-Rv2958c
Rv2964-kdtB,purU-kdtB
Rv3010c-Rv3011c,pfkA-gatA
nrdH-Rv3054c,nrdH-Rv3054c
Rv3081-Rv3082c,Rv3081-virS
Rv3115-Rv3116,Rv3115-moeB2
Rv3141-Rv3142c,fadB4-Rv3142c
Rv3142c-Rv3143,Rv3142c-Rv3143
Rv3173c-Rv3174,Rv3173c-Rv3174
Rv3346c-PPE55,Rv3346c-PPE55
Rv3359-Rv3360,Rv3359-Rv3360
Rv3366-PE_PGRS51,spoU-PE_PGRS51
Rv3383c-Rv3384c,idsB-vapC46
PPE61-PPE62,PPE61-PPE62
Rv3560c-Rv3561,fadE30-fadD3
Rv3616c-Rv3617,espA-ephA
Rv3635-Rv3636,Rv3635-Rv3636
Rv3676-Rv3677c,crp-Rv3677c
PPE67-Rv3740c,PPE67-Rv3740c
Rv3745c-PE34,Rv3745c-PE34
Rv3747-Rv3748,Rv3747-Rv3748
Rv3769-Rv3770c,Rv3769-Rv3770c
Rv3801c-Rv3802c,fadD32-Rv3802c
Rv3859c-Rv3860,gltB-Rv3860
Rv3863-Rv3864,Rv3863-espE
Rv3920c-Rv3921c,Rv3920c-Rv3921c
PE_PGRS17-Rv0979c,PE_PGRS17-Rv0979c
Rv0466-Rv0467,Rv0466-icl1
Rv1990A-Rv1991c,Rv1990A-mazF6
Rv0186A-Rv0187,mymT-Rv0187
dcd-Rv0322,dcd-udgA
Rv0744c-Rv0745,Rv0744c-Rv0745
Rv1501-Rv1502,Rv1501-Rv1502
Rv2214c-Rv2215,ephD-dlaT
PE_PGRS39-EBG00000313352,PE_PGRS39-asnT
Rv2641-Rv2642,cadI-Rv2642
PE21-Rv2100,PE21-Rv2100
Rv3528c-Rv3529c,Rv3528c-Rv3529c
Rv0010c-Rv0011c,Rv0010c-Rv0011c
Rv0090-Rv0091,Rv0090-mtn
Rv0736-Rv0737,rslA-Rv0737
Rv1176c-Rv1177,Rv1176c-fdxC
Rv1497-Rv1498c,lipL-Rv1498c
Rv1829-Rv1830,Rv1829-Rv1830
Rv2178c-Rv2179c,aroG-Rv2179c
Rv2307c-Rv2307A,Rv2307c-Rv2307A
lysU-PE26,lysU-PE26
Rv2866-Rv2867c,relG-Rv2867c
Rv3050c-Rv3051c,Rv3050c-nrdE
Rv3207c-Rv3208,Rv3207c-Rv3208
Rv3887c-Rv3889c,Rv3888c-espG2
PE27A-Rv3019c,PE27A-esxR
rpsM-Rv3461c,rpsM-rpmJ
Rv0782-Rv0783c,ptrBb-emrB
Rv2061c-Rv2062c,Rv2061c-cobN
Rv1063c-Rv1064c,Rv1063c-lpqV
Rv1516c-Rv1517,Rv1516c-Rv1517
Rv2497c-Rv2498c,bkdA-citE
Rv2647-Rv2648,Rv2647-Rv2648
Rv3179-Rv3180c,Rv3179-Rv3180c
Rv3805c-Rv3806c,aftB-ubiA
Rv3857c-Rv3858c,Rv3857c-gltD
PE_PGRS9-PE_PGRS10,PE_PGRS9-PE_PGRS10
PPE53-Rv3160c,PPE53-Rv3160c
Rv0029-Rv0030,Rv0029-Rv0030
Rv0392c-Rv0393,ndhA-Rv0393
PE_PGRS50-Rv3346c,PE_PGRS50-Rv3346c
Rv2344c-Rv2345,dgt-Rv2345
Rv3124-PPE49,moaR1-PPE49
Rv3614c-espC,espD-espC
Rv3742c-Rv3743c,Rv3742c-ctpJ
Rv3770c-Rv3770A,Rv3770c-Rv3770A
Rv1555-Rv1556,frdD-Rv1556
Rv2323c-Rv2324,Rv2323c-Rv2324
Rv3596c-EBG00000313367,clpC1-mpr17
ileT-alaT,ileT-alaT
Rv0063-Rv0064,Rv0063-Rv0064
PE6-Rv0336,PE6-Rv0336
Rv0387c-PPE9,Rv0387c-PPE9
Rv0457c-Rv0458,Rv0457c-Rv0458
Rv0474-Rv0475,Rv0474-hbhA
Rv0697-Rv0698,Rv0697-Rv0698
Rv0959-Rv0959A,Rv0959-vapB9
Rv1016c-Rv1017c,lpqT-prsA
Rv1190-Rv1191,Rv1190-Rv1191
Rv1245c-Rv1246c,Rv1245c-relE
Rv1467c-PE_PGRS29,fadE15-PE_PGRS29
EBG00000313337-Rv1690,G2-lprJ
PE_PGRS31-Rv1769,PE_PGRS31-Rv1769
Rv1821-Rv1822,secA2-pgsA2
Rv1979c-Rv1980c,Rv1979c-mpt64
Rv2008c-Rv2009,Rv2008c-vapB15
Rv2122c-PPE37,hisE-PPE37
Rv2141c-leuU,Rv2141c-leuU
Rv2293c-Rv2294,Rv2293c-Rv2294
Rv2341-Rv2342,lppQ-Rv2342
Rv2459-Rv2460c,Rv2459-clpP2
hisT-Rv2512c,hisT-Rv2512c
Rv2564-Rv2565,glnQ-Rv2565
Rv2815c-Rv2816c,Rv2815c-Rv2816c
Rv3123-Rv3124,Rv3123-moaR1
Rv3239c-Rv3240c,Rv3239c-secA1
Rv3303c-Rv3304,lpdA-Rv3304
Rv3401-Rv3402c,Rv3401-Rv3402c
Rv3487c-Rv3488,lipF-Rv3488
Rv3501c-Rv3502c,yrbE4A-Rv3502c
Rv3576-Rv3577,lppH-Rv3577
Rv3660c-EBG00000313324,Rv3660c-B11
Rv3832c-Rv3833,Rv3832c-Rv3833
Rv3881c-Rv3882c,espB-eccE1
Rv2051c-Rv2052c,ppm1-Rv2052c
proT-Rv1720c,proT-vapC12
Rv1935c-Rv1936,echA13-Rv1936
Rv3457c-rpsD,rpoA-rpsD
Rv0336-Rv0337c,Rv0336-aspC
Rv1482c-Rv1483,Rv1482c-fabG1
Rv2006-Rv2007c,otsB1-fdxA
Rv3536c-Rv3537,hsaE-kstD
Rv3566A-Rv3567c,Rv3566A-hsaB
mcr16-acpM,mcr16-acpM
Rv2920c-Rv2921c,amt-ftsY
Rv0962c-Rv0963c,lprP-Rv0963c
Rv1148c-Rv1149,Rv1148c-Rv1149
Rv1804c-Rv1805c,Rv1804c-Rv1805c
Rv1900c-Rv1901,lipJ-cinA
Rv2699c-Rv2700,Rv2699c-Rv2700
Rv2980-Rv2981c,Rv2980-ddlA
Rv3128c-Rv3129,Rv3128c-Rv3129
Rv3798-Rv3799c,Rv3798-accD4
Rv0009-Rv0010c,ppiA-Rv0010c
Rv0062-Rv0063,celA1-Rv0063
Rv0126-Rv0127,treS-mak
Rv0144-Rv0145,Rv0144-Rv0145
Rv0150c-PE1,Rv0150c-PE1
Rv0193c-Rv0194,Rv0193c-Rv0194
Rv0353-PPE7,hspR-PPE7
Rv0361-Rv0362,Rv0361-mgtE
Rv0374c-Rv0375c,Rv0374c-Rv0375c
Rv0452-PPE11,Rv0452-PPE11
Rv0480c-Rv0481c,Rv0480c-Rv0481c
Rv0653c-Rv0654,Rv0653c-Rv0654
Rv0657c-Rv0658c,vapB6-Rv0658c
Rv0660c-Rv0661c,mazE2-vapC7
Rv0668-Rv0669c,rpoC-Rv0669c
Rv0685-Rv0686,tuf-Rv0686
Rv0699-rpsJ,Rv0699-rpsJ
Rv0776c-Rv0777,Rv0776c-purB
Rv0804-Rv0805,Rv0804-Rv0805
Rv0843-Rv0844c,Rv0843-narL
Rv0876c-Rv0877,Rv0876c-Rv0877
PPE13-Rv0879c,PPE13-Rv0879c
Rv0917-Rv0918,betP-Rv0918
Rv1012-Rv1013,Rv1012-pks16
Rv1129c-Rv1130,Rv1129c-prpD
Rv1134-PPE16,Rv1134-PPE16
Rv1291c-argV,Rv1291c-argV
PPE20-Rv1388,PPE20-mihF
Rv1438-Rv1439c,tpi-Rv1439c
Rv1439c-Rv1440,Rv1439c-secG
Rv1527c-Rv1528c,pks5-papA4
Rv1529-Rv1530,fadD24-adh
Rv1534-Rv1535,Rv1534-Rv1535
Rv1730c-Rv1731,Rv1730c-gabD2
Rv1781c-Rv1782,malQ-eccB5
PPE26-PPE27,PPE26-PPE27
Rv1876-Rv1877,bfrA-Rv1877
Rv1995-Rv1996,Rv1995-Rv1996
Rv1996-Rv1997,Rv1996-ctpF
Rv2138-Rv2139,lppL-pyrD
Rv2200c-Rv2201,ctaC-asnB
Rv2205c-Rv2206,Rv2205c-Rv2206
rnpB-Rv2227,rnpB-Rv2227
Rv2309c-Rv2309A,Rv2309c-Rv2309A
Rv2357c-Rv2358,glyS-smtB
Rv2445c-Rv2446c,ndkA-Rv2446c
Rv2457c-Rv2458,clpX-mmuM
Rv2548-Rv2548A,vapC19-Rv2548A
Rv2560-mpr11,Rv2560-mpr11
